,Conservative_d_pos,Moderate_d_pos,Bold_d_pos,Agressive_d_pos,Conservative_d_neg,Moderate_d_neg,Bold_d_neg,Agressive_d_neg,Conservative_cc,Moderate_cc,Bold_cc,Agressive_cc,Classificação
A1,0.8082872831585887,1.0662700295154013,1.8475920778711798,2.6200996552124085,2.6200996552124085,2.6200996552124085,0.8082872831585887,0.8082872831585887,0.7642368560817562,0.7107533642290867,0.3043388547758397,0.23576314391824382,Conservative
A2,0.9400203344493068,1.1981790890981305,1.9795011374539087,2.4881905956296793,2.4881905956296793,2.4881905956296793,0.9400203344493068,0.9400203344493068,0.7257985714351454,0.674970447467045,0.3219775375847858,0.2742014285648546,Conservative
A3,1.18939505862886,0.68516225404513,1.4694329600615332,2.2424685622787957,2.2424685622787957,2.2424685622787957,1.18939505862886,1.18939505862886,0.6534258962440092,0.7659669893400519,0.44733809417831283,0.34657410375599074,Moderate
A4,1.3211281099195784,0.8170713136278591,1.6013420196442625,2.1105595026960664,2.1105595026960664,2.1105595026960664,1.3211281099195784,1.3211281099195784,0.6150208704711879,0.7209103999479644,0.4520587213381537,0.38497912952881214,Moderate
A5,1.7146221651796503,1.2127984923760466,1.469432960061533,1.978474434821326,1.978474434821326,1.978474434821326,1.7146221651796503,1.7146221651796503,0.535722362318062,0.619964033148006,0.5385026633449923,0.46427763768193797,Moderate
A6,1.7146221651796503,1.2127984923760466,1.469432960061533,1.978474434821326,1.978474434821326,1.978474434821326,1.7146221651796503,1.7146221651796503,0.535722362318062,0.619964033148006,0.5385026633449923,0.46427763768193797,Moderate
A7,2.109633809755328,1.6085256711242342,1.0737057813133455,1.583863817817196,1.583863817817196,1.583863817817196,2.109633809755328,2.109633809755328,0.4288249181462607,0.49613739905602566,0.6627108888018782,0.5711750818537392,Bold
A8,1.4590485506029642,1.2054887907370886,1.1968308104268042,1.9708069660961134,1.9708069660961134,1.9708069660961134,1.4590485506029642,1.4590485506029642,0.5746034946663977,0.6204733806215286,0.5493655216467532,0.42539650533360224,Moderate
A9,2.364139873575483,1.8635597598204219,1.3302141988398457,1.0637132894172483,1.0637132894172483,1.0637132894172483,2.364139873575483,2.364139873575483,0.31031471852445386,0.36338027629307207,0.6399332135562832,0.6896852814755461,Agressive
A10,2.1019720915323483,1.5997416406549638,1.5940323180053042,1.591173519456154,1.591173519456154,1.591173519456154,2.1019720915323483,2.1019720915323483,0.4308450537996152,0.49865741945979675,0.5687147142216998,0.5691549462003848,Agressive
